listing_id,listing_name,listing_type,room_type,cover_photo_url,photos_count,host_id,host_name,cohosts,superhost,latitude,longitude,guests,bedrooms,beds,baths,registration,amenities,instant_book,min_nights,cancellation_policy,currency,cleaning_fee,extra_guest_fee,num_reviews,rating_overall,rating_accuracy,rating_checkin,rating_cleanliness,rating_communication,rating_location,rating_value,ttm_revenue,ttm_revenue_native,ttm_avg_rate,ttm_avg_rate_native,ttm_occupancy,ttm_adjusted_occupancy,ttm_revpar,ttm_revpar_native,ttm_adjusted_revpar,ttm_adjusted_revpar_native,ttm_reserved_days,ttm_blocked_days,ttm_available_days,ttm_total_days,l90d_revenue,l90d_revenue_native,l90d_avg_rate,l90d_avg_rate_native,l90d_occupancy,l90d_adjusted_occupancy,l90d_revpar,l90d_revpar_native,l90d_adjusted_revpar,l90d_adjusted_revpar_native,l90d_reserved_days,l90d_blocked_days,l90d_available_days,l90d_total_days
26619258,2 Bedrooms.2nd Floor. Fresh Renovation. Near Opera,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-26619258/original/03269771-9f1a-4ac6-8ca2-29818357aaeb.jpeg,11,139434006,Gayane,"",false,40.1816,44.5199,5,2,4,1.0,false,"",false,20,Firm,AMD,10,0,61,4.48,4.6,4.8,4.3,4.8,4.8,4.6,2990.0,1175721.0,41.5,16162.3,0.2,0.5,8.2,3221.2,16.5,6495.7,90,184,275,365,0.0,0.0,48.1,18681.0,0.0,0.0,0.0,0.0,0.0,0.0,0,73,90,90
26685231,Sunny apartment,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/fe6a6976-7cc6-4f37-95e3-c3517a082b2a.jpg,8,184999855,Tigran,"",true,40.2031,44.5216,3,,3,1.5,false,"",true,6,Flexible,AMD,0,0,45,4.73,4.9,5.0,4.6,4.9,4.7,4.8,536.0,206808.0,28.4,11101.1,0.0,0.2,1.5,566.6,4.9,1897.3,17,256,348,365,536.0,206808.0,32.2,12499.3,0.2,0.3,6.0,2297.9,8.1,3133.5,17,24,73,90
27011222,VD Apartment 2- 200 m from the Republic Square,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/b8b663e0-5edb-4056-80a7-51d62851afb0.jpg,21,51117809,Yevgenia,106109994:Arsène,true,40.1780,44.5080,3,,2,1.0,false,"",true,2,Firm,AMD,20,0,81,4.79,4.9,4.9,4.8,5.0,5.0,4.8,10251.0,4007630.0,43.7,17051.0,0.6,0.8,28.1,10979.8,34.4,13448.4,234,67,131,365,991.0,387583.0,44.7,17367.6,0.3,1.0,11.0,4306.5,43.1,16851.4,23,67,67,90
27126385,Apartment 3,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/3e02f981-74c4-4be0-b4b2-b33f7ebdb6c1.jpg,11,162682492,Arsen,"",false,40.2059,44.4970,3,1,1,1.0,false,"",false,3,Strict,AMD,0,0,1,,,,,,,,493.0,189284.0,39.8,15541.2,0.0,0.0,1.4,518.6,1.8,693.3,12,92,353,365,493.0,189284.0,40.8,15855.4,0.1,0.0,5.5,2103.2,0.0,0.0,12,0,78,90
27285450,Entire rental unit in Yerevan,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/miso/Hosting-27285450/original/5eed619f-5a96-45de-8461-418809523c0e.jpeg,43,205546522,Moushegh,"",false,40.1749,44.5113,5,2,5,1.0,false,"",false,2,Firm,AMD,0,0,2,,,,,,,,3647.0,1413581.0,67.5,26345.6,0.1,0.3,10.0,3872.8,22.0,8515.5,52,199,313,365,0.0,0.0,67.1,26053.8,0.0,0.0,0.0,0.0,0.0,0.0,0,57,90,90
27310410,Your Home in YEREVAN!,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/2c2eff12-914e-43ae-9232-9b9e2fd8b1bb.jpg,17,10016307,Grigor,"",false,40.1982,44.5047,3,1,1,1.0,false,"",true,2,Firm,AMD,0,0,40,4.7,4.8,4.8,4.6,5.0,4.6,4.6,446.0,171240.0,41.7,16264.1,0.0,0.1,1.2,469.2,4.6,1783.8,12,269,353,365,446.0,171240.0,36.3,14092.9,0.1,0.0,5.0,1902.7,0.0,0.0,12,0,78,90
27318881,Nice apartment in the center of Yerevan,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/0029be45-d183-41aa-8182-1b623b88ed64.jpg,14,205838877,Asmik,"",false,40.1799,44.5112,2,1,1,1.0,false,"",false,3,Flexible,AMD,30,0,,,,,,,,,607.0,233055.0,62.7,24504.4,0.0,0.0,1.7,638.5,2.5,955.1,11,121,354,365,607.0,233055.0,57.1,22170.8,0.1,0.0,6.7,2589.5,0.0,0.0,11,0,79,90
27331384,Welcome to Armenia!Clean and comfort apartment 4 u,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/a9beeeff-47a5-4d3c-8d58-e9d6c37c3a12.jpg,34,205944263,Dayana,"",false,40.2024,44.5307,2,1,1,1.0,false,"",false,7,Strict,AMD,34,0,40,4.78,4.8,4.8,4.8,4.8,4.6,4.6,2192.0,856073.0,44.7,17452.0,0.2,0.0,6.0,2345.4,0.0,0.0,66,0,299,365,0.0,0.0,70.9,27531.5,0.0,0.0,0.0,0.0,0.0,0.0,0,0,90,90
27614413,#Cosy Bright Apartment on Saryan Amiryan crossroad,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/20f66b15-55a2-4a15-b501-21983844630b.jpg,9,53408645,Davit,690382335:Varuzh,false,40.1837,44.5048,3,1,2,1.0,false,"",true,10,Strict,AMD,0,0,71,4.68,4.8,4.7,4.7,4.8,5.0,4.7,8468.0,3302507.0,39.6,15445.7,0.6,0.7,23.2,9048.0,27.1,10551.1,219,52,146,365,2809.0,1089451.0,45.1,17503.5,0.7,0.0,31.2,12105.0,0.0,0.0,62,0,28,90
27666139,LUXURY APARTMENT. ELITE APARTMENT,Entire rental unit,entire_home,https://a0.muscache.com/im/pictures/690815f7-62bc-4899-8c03-18955d0c5cb0.jpg,16,166928875,Avetis,"",true,40.2047,44.5169,2,1,1,1.0,false,"",false,3,Moderate,AMD,0,0,174,4.98,5.0,5.0,4.9,5.0,4.9,4.9,7035.0,2742475.0,39.3,15350.0,0.5,0.5,19.3,7513.6,19.5,7596.9,174,4,191,365,1703.0,661709.0,40.2,15602.0,0.5,0.0,18.9,7352.3,0.0,0.0,42,0,48,90
27677413,Design-Savvy Apartment with Skyline Views,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/db73fe60-8951-49b1-b87f-9423e36711a5.jpg,36,195185372,Mariam,"23926479:Arman,202041716:Mane",true,40.1782,44.4906,4,1,1,1.0,false,"",true,1,Moderate,AMD,0,0,47,4.94,4.9,4.8,5.0,4.9,4.8,4.9,3806.0,1487563.0,106.2,41447.8,0.1,0.0,10.4,4075.5,0.0,0.0,35,0,330,365,1301.0,507396.0,121.6,47228.5,0.1,0.0,14.5,5637.7,0.0,0.0,11,0,79,90
27685641,Guesthouse for vacation and remote working,Entire serviced apartment,entire_home,https://a0.muscache.com/im/pictures/8bd220fd-6d54-4072-971c-22429d1afecc.jpg,19,30711227,Dr. Meri,"",false,40.1860,44.5334,2,2,4,2.0,false,"",false,14,Flexible,AMD,69,0,12,5.0,5.0,5.0,5.0,5.0,4.8,5.0,2350.0,912522.0,45.0,17557.4,0.1,0.2,6.4,2500.1,7.4,2860.6,54,46,311,365,179.0,69276.0,48.4,18780.7,0.0,0.1,2.0,769.7,2.7,1034.0,4,23,86,90
