price,condition,district,max_floor,street,num_rooms,region,area,num_bathrooms,building_type,floor,ceiling_height
49000.0,newly repaired,Shengavit,4,Shirak St,3,Yerevan,70.0,1,stone,1,3.2
170000.0,newly repaired,Center,3,Hanrapetutyan St,4,Yerevan,100.0,1,stone,3,2.8
119000.0,newly repaired,Center,12,Tumanyan St,3,Yerevan,80.0,1,stone,9,2.8
72000.0,zero condition,Center,3,Khanjyan St,2,Yerevan,75.0,1,stone,2,3.2
70000.0,newly repaired,Center,16,E. Qochar St,3,Yerevan,78.0,1,panel,2,2.8
160000.0,newly repaired,Center,5,M.Khorenatsi St,3,Yerevan,98.0,2,stone,5,2.8
75000.0,zero condition,Center,5,Moskovyan St,1,Yerevan,37.0,1,stone,2,3.0
57000.0,newly repaired,Qanaqer-Zeytun,5,A.Aharonyan St,2,Yerevan,75.0,1,stone,4,2.8
85000.0,newly repaired,Arabkir,4,Baghramyan 2 dead end,3,Yerevan,80.0,1,stone,4,2.8
63000.0,newly repaired,Avan,15,Narekatsi district,3,Yerevan,66.0,1,stone,15,3.0
49000.0,newly repaired,Arabkir,5,Kasyan St,2,Yerevan,40.0,1,stone,4,3.0
65000.0,good,Arabkir,5,N. Zaryan St,2,Yerevan,65.0,1,stone,2,3.2
155000.0,newly repaired,Center,5,Tamanyan St,2,Yerevan,57.0,1,stone,3,3.2
33500.0,newly repaired,Nor Norq,16,Galshoyan St,3,Yerevan,82.0,1,panel,12,2.8
69000.0,newly repaired,Center,4,Khorenatsi 2 alley,3,Yerevan,78.0,1,stone,4,2.8
130000.0,good,Center,5,Sayat Nova Ave,3,Yerevan,106.0,1,stone,2,3.0
59000.0,newly repaired,Arabkir,5,Hr.Kochar St,2,Yerevan,60.0,1,stone,2,2.8
42000.0,good,Malatia-Sebastia,5,Kurghinyan St,4,Yerevan,100.0,1,stone,5,2.8
105000.0,newly repaired,Center,10,M.Khorenatsi St,3,Yerevan,100.0,1,panel,7,2.8
98000.0,newly repaired,Center,5,D. Demirchyan St,3,Yerevan,86.0,1,stone,4,2.8
130000.0,good,Center,4,Abovyan St,3,Yerevan,90.0,1,stone,2,3.2
68000.0,good,Arabkir,16,V.Papazyan St,4,Yerevan,107.0,1,panel,16,2.8
110000.0,newly repaired,Center,5,Leo St,4,Yerevan,100.0,2,stone,3,2.8
100000.0,newly repaired,Center,9,Kajaznuni St,3,Yerevan,96.0,1,other,8,2.8
63000.0,newly repaired,Center,10,Nalbandyan St,2,Yerevan,45.0,1,other,3,2.8
125000.0,newly repaired,Center,11,Nalbandyan St,3,Yerevan,77.0,1,monolit,7,3.0
57000.0,good,Avan,9,Hovhannisyan distrct,4,Yerevan,94.0,1,panel,9,2.8
53000.0,good,Center,20,Sayat Nova Ave,1,Yerevan,32.0,1,other,4,2.8
155000.0,newly repaired,Arabkir,7,Adonts St,3,Yerevan,135.0,2,other,5,2.8
115000.0,newly repaired,Center,9,Paronyan St,3,Yerevan,80.0,1,monolit,8,2.8
66000.0,newly repaired,Center,5,Baghramyan Ave (Kentron),2,Yerevan,53.0,1,stone,4,3.0
45000.0,newly repaired,Shengavit,5,Manandyan St,2,Yerevan,60.0,1,stone,5,2.8
90000.0,newly repaired,Arabkir,10,Sose St,3,Yerevan,100.0,1,panel,10,2.8
65500.0,newly repaired,Arabkir,9,Komitas Ave,3,Yerevan,78.0,1,panel,3,2.8
200000.0,newly repaired,Center,10,Dzorap St,4,Yerevan,130.0,2,monolit,7,3.0
140000.0,good,Center,4,Isahakyan St,4,Yerevan,93.0,1,stone,4,3.2
115000.0,newly repaired,Center,5,Vardanants St,3,Yerevan,82.0,1,stone,4,3.2
35000.0,newly repaired,Nor Norq,9,Vilnyus St,3,Yerevan,53.0,1,panel,1,2.8
46000.0,good,Avan,14,Narekatsi district,1,Yerevan,87.0,1,panel,3,2.8
250000.0,newly repaired,Arabkir,14,Baghramyan 2 alley,3,Yerevan,97.0,1,monolit,10,2.8
125000.0,newly repaired,Center,14,Mashtots Ave,2,Yerevan,66.0,1,other,4,2.8
35000.0,newly repaired,Shengavit,10,Chexov St,2,Yerevan,65.0,1,panel,9,2.8
75000.0,newly repaired,Arabkir,6,N. Zaryan St,3,Yerevan,76.0,2,monolit,1,3.0
79000.0,good,Arabkir,12,Arabkir 19 St,3,Yerevan,91.0,1,panel,9,2.8
48000.0,good,Center,5,Abovyan St,2,Yerevan,40.0,1,stone,5,2.8
92000.0,newly repaired,Arabkir,9,Hambardzumyan St,3,Yerevan,106.0,1,panel,6,2.8
210000.0,newly repaired,Center,9,Pushkin St,4,Yerevan,108.0,2,other,4,3.0
74000.0,newly repaired,Center,5,Baghramyan Ave (Kentron),1,Yerevan,52.0,1,stone,3,2.8
80000.0,newly repaired,Arabkir,9,A. Khachatrian St,3,Yerevan,82.0,1,panel,5,2.8
60000.0,newly repaired,Davtashen,9,Davtashen 2 district,4,Yerevan,96.0,1,panel,4,2.8
110000.0,newly repaired,Center,11,Amiryan St,2,Yerevan,65.0,1,monolit,11,3.0
90000.0,newly repaired,Center,5,Tigran Mets Ave,3,Yerevan,78.0,2,stone,3,2.8
