Listing ID,Listing Name,Property Type,Room Type,Host ID,Host Name,Is Superhost,Latitude,Longitude,Max Guests,Bedrooms,Beds,Bathrooms,Is Instant Bookable,Cancellation Policy,Cleaning Fee,Extra Guest Fee,Number of Reviews,Overall Rating,Location Rating,Value Rating,TTM Avg Daily Rate,TTM Occupancy Rate,L90D Avg Daily Rate,L90D Occupancy Rate,Price Per Guest,City Category
11388641,The apartment is close to the Opera House.,entire rental unit,entire_home,59737924,Seda,FALSE,40.1842,44.5183,5,2,3,1,FALSE,moderate,25,0,27,4.41,4.9,4.4,49,0,47.4,0.001,9.8,Yerevan Area
11492936,#29 Two Bedroom Apartment In The Center Of Yerevan,entire serviced apartment,entire_home,60515118,Narek,FALSE,40.1819,44.5175,5,2,2,1,TRUE,strict,0,0,7,4.29,5,4.3,85,0.001,85,0,17,Yerevan Area
11581346,1 Bedroom Apartment in Homey Residence,entire rental unit,entire_home,61222356,Hyur Service,TRUE,40.1793,44.5151,4,1,3,1,TRUE,moderate,0,0,14,4.93,5,4.9,81.1,0.003,90.1,0.001,20.275,Yerevan Area
11597248,3 Bedroom Apartment in Homey Residence,entire serviced apartment,entire_home,61222356,Hyur Service,TRUE,40.1793,44.515,8,3,5,2,TRUE,moderate,0,0,76,4.97,5,5,155.8,0.006999999999999999,160.4,0.008,19.475,Yerevan Area
11599722,3 Bedroom Apartment in Homey Residence,entire serviced apartment,entire_home,61222356,Hyur Service,TRUE,40.1796,44.5155,8,3,6,2,TRUE,moderate,0,0,40,4.93,5,4.9,151,0.006,158.3,0.006999999999999999,18.875,Yerevan Area
11600205,2 Bedroom Apartment on Chaikovski street,entire serviced apartment,entire_home,61222356,Hyur Service,TRUE,40.1748,44.5175,5,2,4,1,TRUE,moderate,0,0,18,4.94,5,4.8,95.8,0.004,95.8,0.005,19.16,Yerevan Area
11610703,Lenin apartment,entire rental unit,entire_home,40833948,Elena,TRUE,40.1913,44.4684,4,1,1,1.5,FALSE,strict,10,0,34,4.91,4.4,4.8,54.5,0,54.1,0.001,13.625,Yerevan Area
11667395,2 Bedroom Apartment in Alley Residence,entire serviced apartment,entire_home,61222356,Hyur Service,TRUE,40.1813,44.5116,5,2,4,1,TRUE,moderate,0,0,11,4.91,5,4.8,117.2,0.004,119.1,0.002,23.44,Yerevan Area
11748412,Studio near ANI PLAZA hotel,entire rental unit,entire_home,14548097,Armen,TRUE,40.1824,44.5198,2,1,1,1,FALSE,moderate,11,0,75,4.96,5,4.8,39,0.006,41.4,0.004,19.5,Yerevan Area
11790453,Quiet apartment in the city center,entire rental unit,entire_home,13861622,Gayane,TRUE,40.1782,44.5044,3,1,1,1,FALSE,moderate,20,0,67,4.97,5,4.9,36.9,0.003,37.5,0,12.299999999999999,Yerevan Area
11885176,Your home in Yerevan ❤.,entire serviced apartment,entire_home,63376501,Emma,FALSE,40.183,44.5179,4,2,3,1,FALSE,flexible,10,0,20,4.95,5,5,81,0.002,77.8,0.001,20.25,Yerevan Area
11905013,apartment with  1 bedroom  in the  very  center of the city,entire rental unit,entire_home,63376501,Emma,FALSE,40.1834,44.5169,2,1,1,1,NA,flexible,11,NA,8,4.75,5,4.8,41.3,0,41.3,0,20.65,Yerevan Area
12017989,Luxury 1-BDR/New building/Arami str/Downtown,entire rental unit,entire_home,511676899,My,TRUE,40.1843,44.5073,4,1,2,1,TRUE,moderate,25,0,41,4.95,5,4.9,66.2,0.004,79.1,0.006999999999999999,16.55,Yerevan Area
