Date,Year,Month,Company,Position,Position_Standardized,Salary_AMD,Experience_Years,Experience_Level,Salary_Category
2019-12-23T22:24:38Z,2019,12,VMware,Member of technical staff 2,Other,420000,3,Mid-Level (2-5 years),200K-500K
2019-12-23T23:31:23Z,2019,12,Esterox,Front-End,Frontend Developer,250000,2.5,Mid-Level (2-5 years),200K-500K
2019-12-24T00:11:04Z,2019,12,Digitain,Software Engineer,Software Engineer/Developer,700000,2,Junior (0-2 years),500K-1M
2019-12-24T02:18:29Z,2019,12,ՀՀՊՆ,դասակի հրամանատար,Other,250000,5,Mid-Level (2-5 years),200K-500K
2019-12-24T09:17:01Z,2019,12,Not Specified,Web developer,Software Engineer/Developer,158000,1.5,Junior (0-2 years),Under 200K
2019-12-24T11:18:20Z,2019,12,PicsArt,Community Manager,Other,500000,2,Junior (0-2 years),500K-1M
2019-12-24T12:29:11Z,2019,12,EPAM Systems,L2,Other,300000,2,Junior (0-2 years),200K-500K
2019-12-24T14:54:06Z,2019,12,Datafoundry,Data Scientist,Data Scientist/Analyst,300000,1,Junior (0-2 years),200K-500K
2019-12-29T10:17:54Z,2019,12,Not Specified,associate project manager,Project Manager,420000,1.5,Junior (0-2 years),200K-500K
2020-01-02T00:44:10Z,2020,1,Not Specified,Operations manager,Other,1100000,6,Senior (5-10 years),1M-2M
2020-01-02T17:32:27Z,2020,1,Not Specified,Senior Software Engineer,Software Engineer/Developer,1300000,4,Mid-Level (2-5 years),1M-2M
2020-01-04T12:19:46Z,2020,1,Not Specified,Senior Java Developer,Software Engineer/Developer,1100000,5,Mid-Level (2-5 years),1M-2M
2020-01-04T13:11:13Z,2020,1,Webb Fontaine Armenia,Junior 1 (Java),Other,220000,1,Junior (0-2 years),200K-500K
2020-01-04T21:58:38Z,2020,1,Not Specified,Product Owner,Product Manager/Owner,800000,6,Senior (5-10 years),500K-1M
2020-01-08T17:32:30Z,2020,1,Synopsys,Circuit Design Engineer 1,Other,320000,2.5,Mid-Level (2-5 years),200K-500K
